Title,Text,Link,Keywords
The Rt Hon Eric Pickles MP,Secretary of State for Communities and Local Government,https://www.gov.uk/government/people/eric-pickles,"Eric Pickles, pickles"
The Rt Hon Baroness Warsi,"Minister for Faith and Communities, Department for Communities and Local Government",https://www.gov.uk/government/people/baroness-warsi,"Baroness Warsi, warsi"
Mark Prisk MP,"Minister for Housing, Department for Communities and Local Government",https://www.gov.uk/government/people/mark-prisk,"Mark Prisk, prisk"
Nick Boles MP,"Parliamentary Under Secretary of State for Planning, Department for Communities and Local Government",https://www.gov.uk/government/people/nick-boles,"Nick Boles, boles"
The Rt Hon Don Foster MP,"Parliamentary Under Secretary of State, Department for Communities and Local Government",https://www.gov.uk/government/people/don-foster,Don Foster
Brandon Lewis MP,"Parliamentary Under Secretary of State, Department for Communities and Local Government",https://www.gov.uk/government/people/brandon-lewis,"Brandon Lewis, lewis"
Baroness Hanham CBE,"Parliamentary Under Secretary of State, Department for Communities and Local Government",https://www.gov.uk/government/people/baroness-hanham,"Baroness Hanham, hanham"
Sir Bob Kerslake,"Permanent Secretary, Department for Communities and Local Government, and Head of the Civil Service",https://www.gov.uk/government/people/bob-kerslake,"Sir Bob Kerslake, bob kerslake, kerslake"
The Rt Hon Patrick McLoughlin MP,Secretary of State for Transport,https://www.gov.uk/government/people/patrick-mcloughlin,"Patrick McLoughlin, McLoughlin"
The Rt Hon Simon Burns MP,"Minister of State, Department for Transport",https://www.gov.uk/government/people/simon-burns,Simon Burns
Norman Baker MP,"Parliamentary Under Secretary of State, Department for Transport",https://www.gov.uk/government/people/norman-baker,Norman Baker
Stephen Hammond MP,"Parliamentary Under Secretary of State, Department for Transport",https://www.gov.uk/government/people/stephen-hammond,"Stephen Hammond, hammond "
Philip Rutnam,"Permanent Secretary, Department for Transport",https://www.gov.uk/government/people/philip-rutnam,"Philip Rutnam, rutnam"
The Rt Hon David Cameron MP,Prime Minister,https://www.gov.uk/government/people/david-cameron,"David Cameron, Cameron, pm, prime minister"
The Rt Hon Nick Clegg MP,Deputy Prime Minister,https://www.gov.uk/government/people/nick-clegg,"Nick Clegg, Clegg, DPM, deputy prime minister"
