Need ID,Title,Text,Link,Keywords
add,Find your MP - UK Parliament,"Search for a Member of Parliament (MP) by name, constituency or postcode",http://findyourmp.parliament.uk/,"mp, local mp, my mp, your mp, who is my mp, find my mp, member of parliament, mps, mp's, contact details, address, write, email"
add,GDS blog,The Government Digital Service (GDS) blog about how the government is transforming digital public services,http://digital.cabinetoffice.gov.uk/,"gds blog, blogs"
2062,Internships - Graduate Talent Pool,Find an internship with a business on the Graduate Talent Pool website,http://graduatetalentpool.direct.gov.uk/,"graduate, graduates, intern, interns, internship, internships"
add,Public Appointments - Cabinet Office,Current opportunities to serve on the boards of public bodies and on a range of government committees,http://publicappointments.cabinetoffice.gov.uk/,public appointments
add,Government Digital Strategy,How the government will redesign its digital services to make them so straightforward and convenient that all those who can use them prefer to do so,http://publications.cabinetoffice.gov.uk/digital/,"government digital strategy, digital strategy"
add,CSCS - Construction Skills Certification Scheme,CSCS cards give people who work on construction sites proof of their identity and competence,http://www.cscs.uk.com/,"cscs, cscs card, cscs test, health and safety test, apply, applying, book, booking, building site"
add,Data.gov.uk - opening up government,Public data to help people understand how the government works and how policies are made,http://www.data.gov.uk/,"data, open data, big data, raw data, transparency, dataset, datasets, developers, api, sparql"
add,Flood warnings - Environment Agency,Find out whether there are any flood warnings in your area,http://www.environment-agency.gov.uk/homeandleisure/floods/31618.aspx,"flood, floods, flooding, flood warning, flood warnings"
add,Equality and Human Rights Commission (EHRC),Find out about your rights and EHRC's role in promoting and monitoring human rights,http://www.equalityhumanrights.com/human-rights/,human rights
1379,Complain about a train or bus journey - FixMyTransport,Report public transport problems to the company responsible using FixMyTransport,http://www.fixmytransport.com/,"complain about public transport, train journey complaint, bus journey complaint, complain about train company, complain about train journey, complain about bus company, complain about bus journey"
add,Food hygiene ratings - Food Standards Agency,"Find out if a restaurant, takeaway or food shop has good food hygiene standards",http://www.food.gov.uk/ratings,"food hygiene, rating, ratings, safety, standards, inspectors, inspection, fsa"
add,Chalara dieback of ash - Forestry Commission,Chalara dieback of ash is a serious disease of ash trees that causes leaf loss and crown dieback and it can lead to tree death,http://www.forestry.gov.uk/chalara,"ash, ash tree, ash tree dieback, dieback, Chalara, Chalara dieback, Chalara fraxinea, tree, tree health"
add,Get Safe Online,"Advice on how to protect yourself, your children or your business against fraud, identity theft, viruses and other problems online",http://www.getsafeonline.org/,"internet safety, children internet safety"
add,HM Revenue & Customs,Information and online services from HM Revenue & Customs (HMRC),http://www.hmrc.gov.uk/,"hmrc, tax, taxes"
1710,Contact HM Revenue & Customs - HMRC,Find the right contact details for your enquiry to HM Revenue & Customs (HMRC),http://www.hmrc.gov.uk/contactus/,"contact hmrc, contact hm revenue and customs"
add,Enterprise Investment Scheme - HMRC,An overview of the Enterprise Investment Scheme (EIS) for companies and potential investors,http://www.hmrc.gov.uk/eis/,"enterprise investment, eis"
add,PAYE for employers - HMRC,"Information and tools from HM Revenue & Customs (HMRC) to help you deal with PAYE, National Insurance, expenses and benefits",http://www.hmrc.gov.uk/payerti/,"paye, paye tools, payetools, basicpayetools, basicpaytools, rti, real time information"
1890,HomeBuy,Find the HomeBuy agent in the area you want to live,http://www.homebuy.co.uk/,homebuy
add,Technology Strategy Board,The UK's innovation agency aims to accelerate economic growth by stimulating and supporting business-led innovation,http://www.innovateuk.org/,"tsb, technology strategy, technology strategy board, innovate, innovation, design, creative"
794,Motability,"Get a car, powered wheelchair or scooter at an affordable price through the Motability scheme",http://www.motability.co.uk/,motability
add,Census records - The National Archives,How to research census records from 1841 to 1911,http://www.nationalarchives.gov.uk/records/looking-for-person/recordscensus.htm,"census, family history, genealogy"
add,NHS Choices,"Information from the National Health Service on conditions, treatments, local services and healthy living",http://www.nhs.uk/,"nhs, health"
431,Carers' assessments - NHS Choices,Find out how to get a carer's assessment,http://www.nhs.uk/CarersDirect/guide/assessments/Pages/Carersassessments.aspx,"carers assessment, carer's assessment"
1558,Care homes - NHS Choices,Find a care home and other residential housing,http://www.nhs.uk/CarersDirect/guide/practicalsupport/Pages/Carehomes.aspx,"care homes, old people's homes, nursing homes, sheltered housing"
497,Carers' rights - NHS Choices,Find out your legal rights as a carer,http://www.nhs.uk/CarersDirect/guide/rights/Pages/carers-rights.aspx,"carer's rights, carers rights, carer rights"
add,Suicide - NHS Choices,Getting help if you're having suicidal thoughts or you're worried about someone else,http://www.nhs.uk/conditions/Suicide,"suicide, suicidal, samaritans"
add,EHIC - NHS Choices,Apply for a free European Health Insurance Card (EHIC) or renew your card for emergency healthcare in Europe,http://www.nhs.uk/ehic,"ehic, e111, european health insurance card, european health card, travel abroad, travel insurance"
add,Prescriptions and health costs - NHS Choices,Find out what you are entitled to and how to get help with health costs,http://www.nhs.uk/healthcosts,"prescription, prescriptions, hc11, hc1, hc2, health costs, dental costs, eye care, eye test, eye tests, sight tests, treatment"
1544,Counselling - NHS Choices,Find out about talking therapies and find a counsellor or another therapist in your area,http://www.nhs.uk/livewell/counselling,"counsellor, counselling"
add,Health services near you - NHS Choices,"Enter your postcode or location to find a GP, hospital, dentist or other health service in your area",http://www.nhs.uk/service-search,"doctor, gp, surgery"
add,NHS Direct and NHS 111,"NHS Direct is being replaced by NHS 111 in England - if you need medical help fast but it's not a 999 emergency, call 111 or 0845 4647 depending on your area",http://www.nhsdirect.nhs.uk/,"nhs, health, medical, urgent, 111"
998,National Savings and Investments - NS&I,Invest with the government's savings scheme on the National Savings and Investments (NS&I) website,http://www.nsandi.com/,"ns&i, nsandi, national savings and investments"
